date	site	transect	species	condition
2014-09-12	HBN1	3	SSID	SED
2014-09-22	HBN1	3	SSID	PBUR, P
2015-06-23	HBN1	3	SSID	P
2015-06-30	HBN1	3	SSID	P
2015-07-09	HBN1	3	SSID	PE
2015-07-13	HBN1	3	SSID	NONE
2013-10-20	HBN1	3	SSID	SA
2013-10-22	HBN1	3	SSID	NA
2013-11-01	HBN1	3	SSID	NA
2013-11-07	HBN1	3	SSID	NA
2013-11-25	HBN1	3	SSID	BUR
2014-09-12	HBN1	3	SSID	SED
2014-09-22	HBN1	3	SSID	SED
2015-06-23	HBN1	3	SSID	MIS
2015-06-30	HBN1	3	SSID	MIS
2015-07-09	HBN1	3	SSID	MIS
2015-07-13	HBN1	3	SSID	MIS
2013-10-20	HBN1	3	SSID	NA
2013-10-22	HBN1	3	SSID	NA
2013-11-01	HBN1	3	SSID	PBUR
2013-11-07	HBN1	3	SSID	NA
2014-09-12	HBN1	3	SSID	P, SED
2014-09-22	HBN1	3	SSID	SED
2015-06-23	HBN1	3	SSID	NONE
2015-06-30	HBN1	3	SSID	NONE
2015-07-09	HBN1	3	SSID	NONE
2015-07-13	HBN1	3	SSID	PD
2013-10-20	HBN1	3	SSID	NA
2013-10-22	HBN1	3	SSID	NA
2013-11-01	HBN1	3	SSID	PB
2013-11-07	HBN1	3	SSID	NA
2014-09-12	HBN1	3	SSID	SA
2014-09-22	HBN1	3	SSID	SED
2015-06-23	HBN1	3	SSID	NONE
2015-06-30	HBN1	3	SSID	NONE
2015-07-09	HBN1	3	SSID	NONE
2015-07-13	HBN1	3	SSID	NONE
2013-10-20	HBN1	3	SSID	NA
2013-10-22	HBN1	3	SSID	PB
2013-11-01	HBN1	3	SSID	NA
2013-11-07	HBN1	3	SSID	NA
2014-09-12	HBN1	3	SSID	P
2014-09-22	HBN1	3	SSID	NONE
2015-06-23	HBN1	3	SSID	NONE
2015-06-30	HBN1	3	SSID	NONE
2015-07-09	HBN1	3	SSID	NONE
2015-07-13	HBN1	3	SSID	NONE
2013-10-20	HBN1	3	SSID	NA
2013-10-22	HBN1	3	SSID	NA
2013-11-01	HBN1	3	SSID	NA
2013-11-07	HBN1	3	SSID	BUR
2014-09-12	HBN1	3	SSID	P, SED
2014-09-22	HBN1	3	SSID	P
