reef	dir	dist	dist_actual	site	site0	transect	meter_mark	sdepth_cm	stype
HB	N	2350	2367.1	HBNC1	HBNC1-CP	NS	42.1	0.2	NA
HB	N	2350	2368	HBNC1	HBNC1-CP	NS	43	0.2	NA
HB	N	2350	2369	HBNC1	HBNC1-CP	NS	44	0.2	NA
HB	N	2350	2370	HBNC1	HBNC1-CP	NS	45	0.1	Mixed
HB	N	2350	2371	HBNC1	HBNC1-CP	NS	46	1.7	NA
HB	N	2350	2372	HBNC1	HBNC1-CP	NS	47	0.2	NA
HB	N	2350	2373	HBNC1	HBNC1-CP	NS	48	0.1	NA
HB	N	2350	2374	HBNC1	HBNC1-CP	NS	49	0.2	NA
HB	N	2350	2375	HBNC1	HBNC1-CP	NS	50	0.2	Mixed
HB	S	150	125	HBS	HBS-15b-150	NS	0	3.4	Mixed
HB	S	150	126	HBS	HBS-15b-150	NS	1	2.5	NA
HB	S	150	127	HBS	HBS-15b-150	NS	2	0.4	NA
HB	S	150	128	HBS	HBS-15b-150	NS	3	0.4	NA
HB	S	150	129	HBS	HBS-15b-150	NS	4	1.5	NA
HB	S	150	130	HBS	HBS-15b-150	NS	5	0.4	Mixed
HB	S	150	131	HBS	HBS-15b-150	NS	6	1.4	NA
HB	S	150	132	HBS	HBS-15b-150	NS	7	3	NA
HB	S	150	133.3	HBS	HBS-15b-150	NS	8.3	0.3	NA
HB	S	150	134	HBS	HBS-15b-150	NS	9	1	NA
HB	S	150	135	HBS	HBS-15b-150	NS	10	0.5	Mixed
HB	S	150	136.6	HBS	HBS-15b-150	NS	11.6	1.3	NA
HB	S	150	137	HBS	HBS-15b-150	NS	12	4.2	NA
HB	S	150	138	HBS	HBS-15b-150	NS	13	0.4	NA
HB	S	150	139	HBS	HBS-15b-150	NS	14	3	NA
HB	S	150	140.5	HBS	HBS-15b-150	NS	15.5	3.5	Mixed
HB	S	150	141	HBS	HBS-15b-150	NS	16	2	NA
HB	S	150	142	HBS	HBS-15b-150	NS	17	2	NA
HB	S	150	143	HBS	HBS-15b-150	NS	18	1.8	NA
HB	S	150	144	HBS	HBS-15b-150	NS	19	0.4	NA
HB	S	150	145	HBS	HBS-15b-150	NS	20	0.5	Mixed
HB	S	150	146	HBS	HBS-15b-150	NS	21	1	NA
HB	S	150	147	HBS	HBS-15b-150	NS	22	4.1	NA
HB	S	150	148	HBS	HBS-15b-150	NS	23	1.2	NA
HB	S	150	149	HBS	HBS-15b-150	NS	24	3.1	NA
HB	S	150	150.2	HBS	HBS-15b-150	NS	25.2	2.4	Mixed
HB	S	150	151	HBS	HBS-15b-150	NS	26	0.2	NA
HB	S	150	152	HBS	HBS-15b-150	NS	27	0.1	NA
HB	S	150	153	HBS	HBS-15b-150	NS	28	0.4	NA
HB	S	150	154	HBS	HBS-15b-150	NS	29	0.7	NA
HB	S	150	155	HBS	HBS-15b-150	NS	30	1.5	Mixed
HB	S	150	156	HBS	HBS-15b-150	NS	31	1.2	NA
HB	S	150	157	HBS	HBS-15b-150	NS	32	0.1	NA
HB	S	150	158	HBS	HBS-15b-150	NS	33	0.1	NA
HB	S	150	159	HBS	HBS-15b-150	NS	34	1.8	NA
HB	S	150	160	HBS	HBS-15b-150	NS	35	3.4	Mixed
HB	S	150	161	HBS	HBS-15b-150	NS	36	0.3	NA
HB	S	150	162	HBS	HBS-15b-150	NS	37	0.3	NA
HB	S	150	163	HBS	HBS-15b-150	NS	38	0.3	NA
HB	S	150	164	HBS	HBS-15b-150	NS	39	0.6	NA
HB	S	150	165	HBS	HBS-15b-150	NS	40	0.7	Mixed
HB	S	150	166	HBS	HBS-15b-150	NS	41	2.2	NA
HB	S	150	167	HBS	HBS-15b-150	NS	42	0.1	NA
HB	S	150	168	HBS	HBS-15b-150	NS	43	1	NA
HB	S	150	169	HBS	HBS-15b-150	NS	44	1	NA
HB	S	150	170	HBS	HBS-15b-150	NS	45	1.7	Mixed
HB	S	150	171	HBS	HBS-15b-150	NS	46	0.5	NA
HB	S	150	172	HBS	HBS-15b-150	NS	47	1	NA
HB	S	150	173	HBS	HBS-15b-150	NS	48	0.3	NA
HB	S	150	174	HBS	HBS-15b-150	NS	49	0.5	NA
HB	S	150	175	HBS	HBS-15b-150	NS	50	1.5	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	0	0.3	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	1	0.1	NA
HB	S	150	150	HBS	HBS-15b-150	EW	2.2	1	NA
HB	S	150	150	HBS	HBS-15b-150	EW	3	0.3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	4	0.1	NA
HB	S	150	150	HBS	HBS-15b-150	EW	5	0.2	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	6	0.2	NA
HB	S	150	150	HBS	HBS-15b-150	EW	7	0.5	NA
HB	S	150	150	HBS	HBS-15b-150	EW	8.2	1.3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	9	2	NA
HB	S	150	150	HBS	HBS-15b-150	EW	10	0.2	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	11.2	4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	12	2.3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	13	0.4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	14	1.5	NA
HB	S	150	150	HBS	HBS-15b-150	EW	15	1	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	16	0.4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	17	0.6	NA
