Date,Week,Visit,Surveyor,Site,N Site,Transect,N Transect,Coral ID,Species,Condition Code,Condition Score_calc,Sediment stress,Coral w/ Sed Stress,Proportion w/ sed stress/site,Proportion Stressed Transect,Proportion  Stressed Site,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,6,PAST,P,1,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,7,MMEA,DEAD,1,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,8,SBOU,UD,1,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,1,DSTO,DEAD,1,,,,0.14,0.04,,8,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,2,MMEA,DEAD,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,3,PAST,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,4,PAST,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,5,PAST,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,6,SSID,M,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,6,SSID,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,7,SINT,M,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,7,SINT,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,1,7,7,SINT,P,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,1,PAST,M,1,,,,0.13,0.04,,6,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,1,PAST,SA,1,1,1.0,0.041666667,0.13,0.04,,7,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,2,SBOU,UPM,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,3,PAST,NONE,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,4,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,4,PAST,FB,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,5,SINT,MIS,,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,6,SBOU,P,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,6,SBOU,UC,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,6,SBOU,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,7,PAST,NONE,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,8,PAST,M,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,8,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,2,8,9,MMEA,DEAD,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,1,PAST,NONE,0,,,,0.11,0.04,,7,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,2,PAST,P,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,2,PAST,SA,1,1,1.0,0.041666667,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,2,PAST,UPM,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,3,MMEA,DEAD,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,4,CNAT,WP,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,5,DSTR,WP,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,6,MCAV,NONE,0,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,7,DSTR,DEAD,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,8,MCAV,DEAD,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,9,DSTR,UPM,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC3-SG,24,3,9,9,DSTR,SED,0,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,1,SBOU,P,1,,,,0.10,0.04,,10,, 
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,1,SBOU,UC,1,,,,0.10,0.04,,6,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,2,MCAV,SA,1,1,1.0,0.041666667,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,2,MCAV,WP,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,3,MCAV,SED,0,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,4,PAST,SA,1,1,1.0,0.041666667,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,5,PAST,SED,0,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,6,MCAV,SED,0,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,7,PPOR,DEAD,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,8,SBOU,P,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,9,SBOU,UC,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,1,10,10,SBOU,NONE,0,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,1,ALAM,P,1,,,,0.13,0.04,,6,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,2,MMEA,DEAD,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,3,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,3,PAST,UC,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,4,MCAV,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,5,PAST,SA,1,1,1.0,0.041666667,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,6,MCAV,NONE,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,7,DSTO,DEAD,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,2,8,8,SBOU,P,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,1,SSID,SED,0,,,,0.17,0.04,,7,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,2,MFER,SED,0,,,,0.17,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,3,PPOR,M,1,,,,0.17,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,3,PPOR,PE,1,,,,0.17,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,4,SINT,SED,0,,,,0.17,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,5,SSID,NONE,0,,,,0.17,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,6,PPOR,MIS,,,,,0.17,0.04,,,,
4/25/15,IA1,,AS,R3SC1-CP,24,3,6,7,PAST,DEAD,1,,,,0.17,0.04,,,,
